domain,rmm_tool,pattern,regex
-dms.zoho.com.cn,Manage Engine (Desktop Central),*.-dms.zoho.com.cn,^(?:.*\.-dms\.zoho\.com\.cn)$
01com.com,I'm InTouch,*.01com.com,^(?:.*\.01com\.com)$
136.243.104.235,Ammyy Admin,136.243.104.235,^(?:136\.243\.104\.235)$
136.243.104.242,Ammyy Admin,136.243.104.242,^(?:136\.243\.104\.242)$
136.243.18.122,Ammyy Admin,136.243.18.122,^(?:136\.243\.18\.122)$
160.191.182.41,SimpleHelp,160.191.182.41,^(?:160\.191\.182\.41)$
192.144.34.42,SimpleHelp,192.144.34.42,^(?:192\.144\.34\.42)$
192.3.95.152,NetBird,192.3.95.152,^(?:192\.3\.95\.152)$
198.46.178.135,NetBird,198.46.178.135,^(?:198\.46\.178\.135)$
1wuccjc4a3.execute-api.eu-west-1.amazonaws.com,Faronics Deploy,1wuccjc4a3.execute-api.eu-west-1.amazonaws.com,^(?:1wuccjc4a3\.execute-api\.eu-west-1\.amazonaws\.com)$
247ithelp.com,247ithelp.com (ConnectWise),*.247ithelp.com,^(?:.*\.247ithelp\.com)$
29qoj3q0yf.execute-api.us-west-2.amazonaws.com,Faronics Deploy,29qoj3q0yf.execute-api.us-west-2.amazonaws.com,^(?:29qoj3q0yf\.execute-api\.us-west-2\.amazonaws\.com)$
51.255.19.178,SimpleHelp,51.255.19.178,^(?:51\.255\.19\.178)$
51.255.19.179,SimpleHelp,51.255.19.179,^(?:51\.255\.19\.179)$
8z5x4rqbxi.execute-api.eu-west-1.amazonaws.com,Faronics Deploy,8z5x4rqbxi.execute-api.eu-west-1.amazonaws.com,^(?:8z5x4rqbxi\.execute-api\.eu-west-1\.amazonaws\.com)$
a1-backend-packages.s3.amazonaws.com,Action1,a1-backend-packages.s3.amazonaws.com,^(?:a1-backend-packages\.s3\.amazonaws\.com)$
account.flexihub.com,HelpWire,account.flexihub.com,^(?:account\.flexihub\.com)$
acronis.com,Acronis Cyber Protect (Remotix),agents*-cloud.acronis.com,^(?:agents.*-cloud\.acronis\.com)$
action1.com,Action1,*.action1.com,^(?:.*\.action1\.com)$
activation.netreo.net,Netreo,activation.netreo.net,^(?:activation\.netreo\.net)$
adobeconnect.com,Adobe Connect,*.adobeconnect.com,^(?:.*\.adobeconnect\.com)$
aeroadmin.com,AeroAdmin,aeroadmin.com,^(?:aeroadmin\.com)$
aeroadmin.com,AeroAdmin,auth*.aeroadmin.com,^(?:auth.*\.aeroadmin\.com)$
agent-api.atera.com,Atera,agent-api.atera.com,^(?:agent-api\.atera\.com)$
agent.tiflux.com,TiFLUX,agent.tiflux.com,^(?:agent\.tiflux\.com)$
agenthb.atera.com,Atera,agenthb.atera.com,^(?:agenthb\.atera\.com)$
agentmqtt.fleetdeck.io,FleetDeck.io,agentmqtt.fleetdeck.io,^(?:agentmqtt\.fleetdeck\.io)$
